"_v [cm]","Freq [GHz]","_u []","re(NearEX) [V_per_meter]"
-73.5,2.4,-0.615,0.3996669401052
-73.5,2.4,-0.6075,0.730143000685791
-73.5,2.4,-0.6,1.02523044323273
-73.5,2.4,-0.5925,1.2674853893782
-73.5,2.4,-0.585,1.44261522471443
-73.5,2.4,-0.5775,1.54024041074938
-73.5,2.4,-0.57,1.5544019792499
-73.5,2.4,-0.5625,1.48379622818055
-73.5,2.4,-0.555,1.33163103144142
-73.5,2.4,-0.5475,1.10571525382842
-73.5,2.4,-0.54,0.817406913429223
-73.5,2.4,-0.5325,0.481221766300773
-73.5,2.4,-0.525,0.11391214924094
-73.5,2.4,-0.5175,-0.266462204752906
-73.5,2.4,-0.51,-0.641489538512339
-73.5,2.4,-0.5025,-0.993334453618555
-73.5,2.4,-0.495,-1.30559139614303
-73.5,2.4,-0.4875,-1.56402295045931
-73.5,2.4,-0.48,-1.75715193776475
-73.5,2.4,-0.4725,-1.8766865797359
-73.5,2.4,-0.465,-1.917768528688
-73.5,2.4,-0.4575,-1.87904374210736
-73.5,2.4,-0.45,-1.7625654382694
-73.5,2.4,-0.4425,-1.57354627104639
-73.5,2.4,-0.435,-1.31998309425485
-73.5,2.4,-0.4275,-1.01218207008518
-73.5,2.4,-0.42,-0.662214361750938
-73.5,2.4,-0.4125,-0.283333303238415
-73.5,2.4,-0.405,0.110617076982011
-73.5,2.4,-0.3975,0.505774745649013
-73.5,2.4,-0.39,0.888789714453756
-73.5,2.4,-0.3825,1.24729198907453
-73.5,2.4,-0.375,1.57028283495533
-73.5,2.4,-0.3675,1.84837459959396
-73.5,2.4,-0.36,2.07426766114108
-73.5,2.4,-0.3525,2.24247864631637
-73.5,2.4,-0.345,2.34964048926467
-73.5,2.4,-0.3375,2.39439373245996
-73.5,2.4,-0.33,2.37727441928191
-73.5,2.4,-0.3225,2.30054447316184
-73.5,2.4,-0.315,2.1679774330013
-73.5,2.4,-0.3075,1.98461273843743
-73.5,2.4,-0.3,1.75649144636208
-73.5,2.4,-0.2925,1.49038541556518
-73.5,2.4,-0.285,1.19353073490022
-73.5,2.4,-0.2775,0.87337461116628
-73.5,2.4,-0.27,0.537343192006357
-73.5,2.4,-0.2625,0.192635983791537
-73.5,2.4,-0.255,-0.153949271053677
-73.5,2.4,-0.2475,-0.496159090066365
-73.5,2.4,-0.24,-0.828393490632115
-73.5,2.4,-0.2325,-1.14578267884439
-73.5,2.4,-0.225,-1.4442329969225
-73.5,2.4,-0.2175,-1.72044480156288
-73.5,2.4,-0.21,-1.97190556831138
-73.5,2.4,-0.2025,-2.19686191215377
-73.5,2.4,-0.195,-2.39427440281641
-73.5,2.4,-0.1875,-2.56375906136118
-73.5,2.4,-0.18,-2.70542224282944
-73.5,2.4,-0.1725,-2.82016978632492
-73.5,2.4,-0.165,-2.909068761933
-73.5,2.4,-0.1575,-2.97363080472067
-73.5,2.4,-0.15,-3.01565090058237
-73.5,2.4,-0.1425,-3.03713603657058
-73.5,2.4,-0.135,-3.04023916930714
-73.5,2.4,-0.1275,-3.02719950801981
-73.5,2.4,-0.12,-3.00028973428274
-73.5,2.4,-0.1125,-2.96177044995881
-73.5,2.4,-0.105,-2.91385186233205
-73.5,2.4,-0.0975,-2.85866248238186
-73.5,2.4,-0.09,-2.79822442771454
-73.5,2.4,-0.0825,-2.7344347831962
-73.5,2.4,-0.075,-2.66905237591489
-73.5,2.4,-0.0675,-2.60368926199886
-73.5,2.4,-0.06,-2.53980619585836
-73.5,2.4,-0.0525,-2.47871135231378
-73.5,2.4,-0.045,-2.4215615936977
-73.5,2.4,-0.0375,-2.36936561259998
-73.5,2.4,-0.03,-2.32298833219378
-73.5,2.4,-0.0225,-2.28315600635493
-73.5,2.4,-0.015,-2.25046152801767
-73.5,2.4,-0.0075,-2.22536952398451
-73.5,2.4,0,-2.2082208859239
-73.5,2.4,0.0075,-2.1993384766093
-73.5,2.4,0.015,-2.19862773671539
-73.5,2.4,0.0225,-2.20617393913791
-73.5,2.4,0.03,-2.22184888889861
-73.5,2.4,0.0375,-2.24540766220677
-73.5,2.4,0.045,-2.27648639279645
-73.5,2.4,0.0525,-2.3145990322846
-73.5,2.4,0.06,-2.35913329881204
-73.5,2.4,0.0675,-2.40934609817981
-73.5,2.4,0.075,-2.46435877138389
-73.5,2.4,0.0825,-2.52315259111326
-73.5,2.4,0.09,-2.58456499616021
-73.5,2.4,0.0975,-2.64728711500428
-73.5,2.4,0.105,-2.70986318568912
-73.5,2.4,0.1125,-2.77069252552171
-73.5,2.4,0.12,-2.82803473749552
-73.5,2.4,0.1275,-2.88001885653289
-73.5,2.4,0.135,-2.9246571330674
-73.5,2.4,0.1425,-2.95986411924516
-73.5,2.4,0.15,-2.98348165911769
-73.5,2.4,0.1575,-2.99331028379043
-73.5,2.4,0.165,-2.98714737123147
-73.5,2.4,0.1725,-2.96283224485518
-73.5,2.4,0.18,-2.91829815289681
-73.5,2.4,0.1875,-2.85163079158068
-73.5,2.4,0.195,-2.76127041113726
-73.5,2.4,0.2025,-2.64555061829936
-73.5,2.4,0.21,-2.50353091579648
-73.5,2.4,0.2175,-2.33459169308242
-73.5,2.4,0.225,-2.1386200152165
